suite,config,task_name,status,reward,language,difficulty,category,sdlc_phase,repo,mcp_benefit_score,context_complexity,cross_file_deps,n_input_tokens,n_output_tokens,n_cache_tokens,cache_read_tokens,total_cost_usd,agent_task_seconds,wall_clock_seconds,env_setup_seconds
ccb_dependeval,baseline,dependency_recognition-javascript-ef7ab7e5,passed,1.0,javascript,medium,dependency_recognition,Architecture & Design,better-onetab,0.72,0.65,0.85,98946,9,98939,,,13.5,34.2,1.5
ccb_dependeval,baseline,dependency_recognition-python-58e6c2b0,passed,1.0,python,medium,dependency_recognition,Architecture & Design,MLOS,0.72,0.65,0.85,98794,11,98787,,,14.5,35.1,0.8
ccb_dependeval,baseline,dependency_recognition-python-7c0ee37f,passed,1.0,python,medium,dependency_recognition,Architecture & Design,semi-supervised-music-tagging-transformer,0.72,0.65,0.85,104034,13,104027,,,16.1,37.1,0.7
ccb_dependeval,baseline,dependency_recognition-python-83d51f82,passed,1.0,python,medium,dependency_recognition,Architecture & Design,xos,0.72,0.65,0.85,82937,84,82932,,,326.1,347.4,1.5
ccb_dependeval,baseline,dependency_recognition-python-bb854fc4,passed,1.0,python,medium,dependency_recognition,Architecture & Design,alexa-apis-for-python,0.72,0.65,0.85,101086,13,101079,,,16.0,36.2,0.8
ccb_dependeval,baseline,dependency_recognition-typescript-a36bf7a5,passed,1.0,typescript,medium,dependency_recognition,Architecture & Design,Rankings-Backend,0.72,0.65,0.85,102799,11,102792,,,15.4,35.5,0.6
ccb_dependeval,baseline,dependency_recognition-typescript-b512c0c8,passed,1.0,typescript,medium,dependency_recognition,Architecture & Design,predicates,0.72,0.65,0.85,99899,13,99892,,,19.3,39.9,1.3
ccb_dependeval,baseline,dependency_recognition-typescript-b8647ec9,passed,1.0,typescript,medium,dependency_recognition,Architecture & Design,rules,0.72,0.65,0.85,98807,17,98800,,,18.4,38.3,0.7
ccb_dependeval,baseline,dependency_recognition-typescript-d13f8f68,passed,1.0,typescript,medium,dependency_recognition,Architecture & Design,installer-gui,0.72,0.65,0.85,100943,13,100936,,,16.9,36.6,0.8
ccb_dependeval,baseline,multifile_editing-java-2e96d995,passed,0.3268,java,medium,multifile_editing,Implementation (feature),kafka-webview,0.78,0.75,0.9,149741,3940,,135825,0.4822107000000001,127.5,148.1,0.7
ccb_dependeval,baseline,multifile_editing-java-5edcbb0d,passed,0.1076,java,medium,multifile_editing,Implementation (feature),RadioDroid,0.78,0.75,0.9,237807,8062,,208767,0.55289205,155.6,176.7,1.5
ccb_dependeval,baseline,multifile_editing-java-8d0d378a,passed,0.6537,java,medium,multifile_editing,Implementation (feature),NuProcess,0.78,0.75,0.9,206000,44,205988,,,40.3,61.9,1.1
ccb_dependeval,baseline,multifile_editing-java-e1c422ed,passed,0.3046,java,medium,multifile_editing,Implementation (feature),PowerTutor,0.78,0.75,0.9,570798,11370,,545405,1.0122429500000003,280.8,300.1,0.8
ccb_dependeval,baseline,multifile_editing-javascript-460fab96,passed,0.1927,javascript,medium,multifile_editing,Implementation (feature),winston-logstash,0.78,0.75,0.9,210628,87,210616,,,49.2,68.7,0.7
ccb_dependeval,baseline,multifile_editing-javascript-86e61c71,passed,0.2477,javascript,medium,multifile_editing,Implementation (feature),NFT-Marketplace-Tutorial,0.78,0.75,0.9,147759,13,147750,,,41.2,61.2,0.7
ccb_dependeval,baseline,multifile_editing-javascript-beeb2c66,passed,0.2734,javascript,medium,multifile_editing,Implementation (feature),three.bas,0.78,0.75,0.9,380717,83,380700,,,105.0,124.8,0.8
ccb_dependeval,baseline,multifile_editing-javascript-bf306859,passed,0.6725,javascript,medium,multifile_editing,Implementation (feature),type-to-reducer,0.78,0.75,0.9,213192,37,213180,,,173.4,192.9,0.7
ccb_dependeval,baseline,multifile_editing-python-37688cee,passed,0.1655,python,medium,multifile_editing,Implementation (feature),PiGlow,0.78,0.75,0.9,157040,19,157031,,,58.1,77.6,0.9
ccb_dependeval,baseline,multifile_editing-python-6e11aa67,passed,0.0508,python,medium,multifile_editing,Implementation (feature),Codex-CLI,0.78,0.75,0.9,305985,49,305971,,,99.8,121.4,1.0
ccb_dependeval,baseline,multifile_editing-python-85970e74,passed,0.1798,python,medium,multifile_editing,Implementation (feature),Magisk_Manager_Recovery_Tool,0.78,0.75,0.9,733593,7926,,699839,1.4558748500000003,258.2,280.1,2.1
ccb_dependeval,baseline,multifile_editing-python-ea840a03,passed,0.0369,python,medium,multifile_editing,Implementation (feature),modAL,0.78,0.75,0.9,662931,157,662906,,,191.9,213.7,1.2
ccb_dependeval,baseline,multifile_editing-typescript-01b00e0e,passed,0.6051,typescript,medium,multifile_editing,Implementation (feature),akello,0.78,0.75,0.9,145291,17,145282,,,40.9,65.6,2.9
ccb_dependeval,baseline,multifile_editing-typescript-1469d2cc,passed,0.1702,typescript,medium,multifile_editing,Implementation (feature),stromjs,0.78,0.75,0.9,213336,5389,,201542,0.3636869000000001,120.3,141.1,1.1
ccb_dependeval,baseline,multifile_editing-typescript-4253968d,passed,0.0969,typescript,medium,multifile_editing,Implementation (feature),Day59-Angular-Practice,0.78,0.75,0.9,366904,130,366885,,,59.7,81.3,1.7
ccb_dependeval,baseline,multifile_editing-typescript-73e7d1bc,passed,0.2823,typescript,medium,multifile_editing,Implementation (feature),event-sourcing-demo-app,0.78,0.75,0.9,113196,2703,,107366,0.16832644999999996,44.6,64.6,1.0
ccb_dependeval,sourcegraph_base,dependency_recognition-java-488d70a0,passed,1.0,java,medium,dependency_recognition,Architecture & Design,ProviGen,0.72,0.65,0.85,434531,124,434515,,,33.5,60.2,3.0
ccb_dependeval,sourcegraph_base,dependency_recognition-java-a06aa17b,passed,1.0,java,medium,dependency_recognition,Architecture & Design,iceberg,0.72,0.65,0.85,128536,9,128529,,,15.2,42.3,1.2
ccb_dependeval,sourcegraph_base,dependency_recognition-java-a6bb8222,passed,1.0,java,medium,dependency_recognition,Architecture & Design,iceberg,0.72,0.65,0.85,857402,52,857378,,,50.3,74.8,1.6
ccb_dependeval,sourcegraph_base,dependency_recognition-java-c7138508,passed,1.0,java,medium,dependency_recognition,Architecture & Design,oracle-r2dbc,0.72,0.65,0.85,912894,57,912867,,,50.8,72.7,0.7
ccb_dependeval,sourcegraph_base,dependency_recognition-javascript-6940aa7b,passed,1.0,javascript,medium,dependency_recognition,Architecture & Design,Next-GraphQL-Blog,0.72,0.65,0.85,149824,13,149817,,,14.2,38.3,1.4
ccb_dependeval,sourcegraph_base,dependency_recognition-javascript-d52503a0,passed,1.0,javascript,medium,dependency_recognition,Architecture & Design,place-to-stay,0.72,0.65,0.85,153795,25,153788,,,16.0,39.5,2.0
ccb_dependeval,sourcegraph_base,dependency_recognition-javascript-dafb5116,passed,1.0,javascript,medium,dependency_recognition,Architecture & Design,cls-rtracer,0.72,0.65,0.85,149015,9,149008,,,15.2,39.1,1.4
ccb_dependeval,sourcegraph_base,dependency_recognition-javascript-ef7ab7e5,passed,1.0,javascript,medium,dependency_recognition,Architecture & Design,better-onetab,0.72,0.65,0.85,147326,9,147319,,,14.8,38.3,1.5
ccb_dependeval,sourcegraph_base,dependency_recognition-python-58e6c2b0,passed,1.0,python,medium,dependency_recognition,Architecture & Design,MLOS,0.72,0.65,0.85,156647,9,156640,,,15.0,38.0,0.7
ccb_dependeval,sourcegraph_base,dependency_recognition-python-7c0ee37f,passed,1.0,python,medium,dependency_recognition,Architecture & Design,semi-supervised-music-tagging-transformer,0.72,0.65,0.85,153295,11,153288,,,15.2,41.1,4.0
ccb_dependeval,sourcegraph_base,dependency_recognition-python-83d51f82,passed,1.0,python,medium,dependency_recognition,Architecture & Design,xos,0.72,0.65,0.85,151735,13,151728,,,16.6,39.8,1.5
ccb_dependeval,sourcegraph_base,dependency_recognition-python-bb854fc4,passed,1.0,python,medium,dependency_recognition,Architecture & Design,alexa-apis-for-python,0.72,0.65,0.85,150263,13,150256,,,17.6,40.1,0.8
ccb_dependeval,sourcegraph_base,dependency_recognition-typescript-a36bf7a5,passed,1.0,typescript,medium,dependency_recognition,Architecture & Design,Rankings-Backend,0.72,0.65,0.85,151199,13,151192,,,19.2,41.5,0.9
ccb_dependeval,sourcegraph_base,dependency_recognition-typescript-b512c0c8,passed,1.0,typescript,medium,dependency_recognition,Architecture & Design,predicates,0.72,0.65,0.85,148194,9,148187,,,16.6,38.9,1.4
ccb_dependeval,sourcegraph_base,dependency_recognition-typescript-b8647ec9,passed,1.0,typescript,medium,dependency_recognition,Architecture & Design,rules,0.72,0.65,0.85,156658,9,156651,,,15.6,37.4,0.6
ccb_dependeval,sourcegraph_base,dependency_recognition-typescript-d13f8f68,passed,1.0,typescript,medium,dependency_recognition,Architecture & Design,installer-gui,0.72,0.65,0.85,149238,13,149231,,,21.4,43.1,0.8
ccb_dependeval,sourcegraph_base,multifile_editing-java-2e96d995,passed,0.3043,java,medium,multifile_editing,Implementation (feature),kafka-webview,0.78,0.75,0.9,766747,64,766720,,,71.2,93.3,1.4
ccb_dependeval,sourcegraph_base,multifile_editing-java-5edcbb0d,passed,0.108,java,medium,multifile_editing,Implementation (feature),RadioDroid,0.78,0.75,0.9,750338,523,750316,,,412.6,434.0,0.7
ccb_dependeval,sourcegraph_base,multifile_editing-java-8d0d378a,passed,0.6684,java,medium,multifile_editing,Implementation (feature),NuProcess,0.78,0.75,0.9,299481,105,299467,,,35.8,57.2,0.7
ccb_dependeval,sourcegraph_base,multifile_editing-java-e1c422ed,passed,0.0972,java,medium,multifile_editing,Implementation (feature),PowerTutor,0.78,0.75,0.9,1757564,174,1757480,,,202.5,224.3,0.7
ccb_dependeval,sourcegraph_base,multifile_editing-javascript-460fab96,passed,0.2014,javascript,medium,multifile_editing,Implementation (feature),winston-logstash,0.78,0.75,0.9,478024,118,478006,,,59.3,81.0,0.8
ccb_dependeval,sourcegraph_base,multifile_editing-javascript-86e61c71,passed,0.268,javascript,medium,multifile_editing,Implementation (feature),NFT-Marketplace-Tutorial,0.78,0.75,0.9,1025977,235,1025945,,,132.5,154.8,0.7
ccb_dependeval,sourcegraph_base,multifile_editing-javascript-beeb2c66,passed,0.2751,javascript,medium,multifile_editing,Implementation (feature),three.bas,0.78,0.75,0.9,862409,65,862381,,,110.4,132.0,0.8
ccb_dependeval,sourcegraph_base,multifile_editing-javascript-bf306859,passed,0.6786,javascript,medium,multifile_editing,Implementation (feature),type-to-reducer,0.78,0.75,0.9,1077647,256,1077614,,,434.2,455.9,0.6
ccb_dependeval,sourcegraph_base,multifile_editing-python-37688cee,passed,0.1354,python,medium,multifile_editing,Implementation (feature),PiGlow,0.78,0.75,0.9,590389,64,590368,,,85.4,106.5,0.7
ccb_dependeval,sourcegraph_base,multifile_editing-python-6e11aa67,passed,0.0568,python,medium,multifile_editing,Implementation (feature),Codex-CLI,0.78,0.75,0.9,676637,77,676614,,,93.1,115.0,0.8
ccb_dependeval,sourcegraph_base,multifile_editing-python-85970e74,passed,0.1833,python,medium,multifile_editing,Implementation (feature),Magisk_Manager_Recovery_Tool,0.78,0.75,0.9,981122,10937,,946427,2.19758975,727.9,748.9,0.7
ccb_dependeval,sourcegraph_base,multifile_editing-python-ea840a03,passed,0.0445,python,medium,multifile_editing,Implementation (feature),modAL,0.78,0.75,0.9,857746,110,857718,,,153.8,174.4,0.7
ccb_dependeval,sourcegraph_base,multifile_editing-typescript-01b00e0e,passed,0.568,typescript,medium,multifile_editing,Implementation (feature),akello,0.78,0.75,0.9,424818,89,424803,,,44.4,65.4,0.8
ccb_dependeval,sourcegraph_base,multifile_editing-typescript-1469d2cc,passed,0.5296,typescript,medium,multifile_editing,Implementation (feature),stromjs,0.78,0.75,0.9,1046019,168,1045992,,,133.6,155.0,0.7
ccb_dependeval,sourcegraph_base,multifile_editing-typescript-4253968d,passed,1.0,typescript,medium,multifile_editing,Implementation (feature),Day59-Angular-Practice,0.78,0.75,0.9,1636269,266,1636232,,,107.6,130.0,1.8
ccb_dependeval,sourcegraph_base,multifile_editing-typescript-73e7d1bc,passed,0.1517,typescript,medium,multifile_editing,Implementation (feature),event-sourcing-demo-app,0.78,0.75,0.9,548481,133,548460,,,50.6,71.6,0.7
ccb_dependeval,sourcegraph_full,dependency_recognition-java-488d70a0,passed,1.0,java,medium,dependency_recognition,Architecture & Design,ProviGen,0.72,0.65,0.85,524836,125,524819,,,31.1,55.2,1.6
ccb_dependeval,sourcegraph_full,dependency_recognition-java-a06aa17b,passed,1.0,java,medium,dependency_recognition,Architecture & Design,iceberg,0.72,0.65,0.85,160319,7,160312,,,15.2,39.3,1.6
ccb_dependeval,sourcegraph_full,dependency_recognition-java-a6bb8222,passed,1.0,java,medium,dependency_recognition,Architecture & Design,iceberg,0.72,0.65,0.85,779630,52,779609,,,43.8,67.5,1.8
ccb_dependeval,sourcegraph_full,dependency_recognition-java-c7138508,passed,1.0,java,medium,dependency_recognition,Architecture & Design,oracle-r2dbc,0.72,0.65,0.85,1020175,58,1020147,,,55.4,76.3,0.7
ccb_dependeval,sourcegraph_full,dependency_recognition-javascript-6940aa7b,passed,1.0,javascript,medium,dependency_recognition,Architecture & Design,Next-GraphQL-Blog,0.72,0.65,0.85,159031,7,159024,,,14.9,37.3,1.5
ccb_dependeval,sourcegraph_full,dependency_recognition-javascript-d52503a0,passed,1.0,javascript,medium,dependency_recognition,Architecture & Design,place-to-stay,0.72,0.65,0.85,163005,7,162998,,,16.9,39.3,1.3
ccb_dependeval,sourcegraph_full,dependency_recognition-javascript-dafb5116,passed,1.0,javascript,medium,dependency_recognition,Architecture & Design,cls-rtracer,0.72,0.65,0.85,158222,11,158215,,,15.2,36.8,0.7
ccb_dependeval,sourcegraph_full,dependency_recognition-javascript-ef7ab7e5,passed,1.0,javascript,medium,dependency_recognition,Architecture & Design,better-onetab,0.72,0.65,0.85,156533,9,156526,,,15.2,38.2,0.6
ccb_dependeval,sourcegraph_full,dependency_recognition-python-58e6c2b0,passed,1.0,python,medium,dependency_recognition,Architecture & Design,MLOS,0.72,0.65,0.85,156887,9,156880,,,18.7,40.9,1.2
ccb_dependeval,sourcegraph_full,dependency_recognition-python-7c0ee37f,passed,1.0,python,medium,dependency_recognition,Architecture & Design,semi-supervised-music-tagging-transformer,0.72,0.65,0.85,161704,11,161697,,,18.6,39.9,1.3
ccb_dependeval,sourcegraph_full,dependency_recognition-python-83d51f82,passed,1.0,python,medium,dependency_recognition,Architecture & Design,xos,0.72,0.65,0.85,160144,15,160137,,,17.7,39.5,0.6
ccb_dependeval,sourcegraph_full,dependency_recognition-python-bb854fc4,passed,1.0,python,medium,dependency_recognition,Architecture & Design,alexa-apis-for-python,0.72,0.65,0.85,159470,17,159463,,,17.0,39.6,1.5
ccb_dependeval,sourcegraph_full,dependency_recognition-typescript-a36bf7a5,passed,1.0,typescript,medium,dependency_recognition,Architecture & Design,Rankings-Backend,0.72,0.65,0.85,160404,7,160397,,,16.9,38.4,1.3
ccb_dependeval,sourcegraph_full,dependency_recognition-typescript-b512c0c8,passed,1.0,typescript,medium,dependency_recognition,Architecture & Design,predicates,0.72,0.65,0.85,157404,11,157397,,,15.8,36.5,0.6
ccb_dependeval,sourcegraph_full,dependency_recognition-typescript-b8647ec9,passed,1.0,typescript,medium,dependency_recognition,Architecture & Design,rules,0.72,0.65,0.85,164721,9,164714,,,16.3,37.9,1.5
ccb_dependeval,sourcegraph_full,dependency_recognition-typescript-d13f8f68,passed,1.0,typescript,medium,dependency_recognition,Architecture & Design,installer-gui,0.72,0.65,0.85,158445,9,158438,,,15.0,36.2,1.3
ccb_dependeval,sourcegraph_full,multifile_editing-java-2e96d995,passed,0.2628,java,medium,multifile_editing,Implementation (feature),kafka-webview,0.78,0.75,0.9,399182,4852,,379465,0.5008903,91.9,115.0,1.3
ccb_dependeval,sourcegraph_full,multifile_editing-java-5edcbb0d,passed,0.1101,java,medium,multifile_editing,Implementation (feature),RadioDroid,0.78,0.75,0.9,1074461,95,1074436,,,116.0,138.1,1.4
ccb_dependeval,sourcegraph_full,multifile_editing-java-8d0d378a,passed,0.6478,java,medium,multifile_editing,Implementation (feature),NuProcess,0.78,0.75,0.9,694756,139,694732,,,58.2,81.0,1.4
ccb_dependeval,sourcegraph_full,multifile_editing-java-e1c422ed,passed,0.0142,java,medium,multifile_editing,Implementation (feature),PowerTutor,0.78,0.75,0.9,769089,11261,,730481,0.9667892000000003,231.3,253.0,1.2
ccb_dependeval,sourcegraph_full,multifile_editing-javascript-460fab96,passed,0.1927,javascript,medium,multifile_editing,Implementation (feature),winston-logstash,0.78,0.75,0.9,426584,87,426567,,,40.6,64.7,0.6
ccb_dependeval,sourcegraph_full,multifile_editing-javascript-86e61c71,passed,1.0,javascript,medium,multifile_editing,Implementation (feature),NFT-Marketplace-Tutorial,0.78,0.75,0.9,1335674,243,1335644,,,123.6,145.2,1.4
ccb_dependeval,sourcegraph_full,multifile_editing-javascript-beeb2c66,passed,0.275,javascript,medium,multifile_editing,Implementation (feature),three.bas,0.78,0.75,0.9,1188862,4905,1188384,,,447.3,468.3,0.7
ccb_dependeval,sourcegraph_full,multifile_editing-javascript-bf306859,passed,0.6953,javascript,medium,multifile_editing,Implementation (feature),type-to-reducer,0.78,0.75,0.9,719663,55,719639,,,96.4,117.6,0.8
ccb_dependeval,sourcegraph_full,multifile_editing-python-37688cee,passed,0.2034,python,medium,multifile_editing,Implementation (feature),PiGlow,0.78,0.75,0.9,491504,18,491486,,,81.4,102.9,0.7
ccb_dependeval,sourcegraph_full,multifile_editing-python-6e11aa67,passed,0.052,python,medium,multifile_editing,Implementation (feature),Codex-CLI,0.78,0.75,0.9,631790,69,631769,,,86.0,107.5,0.7
ccb_dependeval,sourcegraph_full,multifile_editing-python-85970e74,passed,1.0,python,medium,multifile_editing,Implementation (feature),Magisk_Manager_Recovery_Tool,0.78,0.75,0.9,2713241,343,2713185,,,200.8,222.8,0.7
ccb_dependeval,sourcegraph_full,multifile_editing-python-ea840a03,passed,0.0369,python,medium,multifile_editing,Implementation (feature),modAL,0.78,0.75,0.9,1453454,237,1450764,,,249.6,270.7,0.7
ccb_dependeval,sourcegraph_full,multifile_editing-typescript-01b00e0e,passed,0.5478,typescript,medium,multifile_editing,Implementation (feature),akello,0.78,0.75,0.9,408010,18,407996,,,41.3,63.1,0.8
ccb_dependeval,sourcegraph_full,multifile_editing-typescript-1469d2cc,passed,1.0,typescript,medium,multifile_editing,Implementation (feature),stromjs,0.78,0.75,0.9,1670837,288,1670801,,,101.4,122.5,0.7
ccb_dependeval,sourcegraph_full,multifile_editing-typescript-4253968d,passed,1.0,typescript,medium,multifile_editing,Implementation (feature),Day59-Angular-Practice,0.78,0.75,0.9,1346701,288,1346669,,,85.0,117.6,11.2
ccb_dependeval,sourcegraph_full,multifile_editing-typescript-73e7d1bc,failed,0.0,typescript,medium,multifile_editing,Implementation (feature),event-sourcing-demo-app,0.78,0.75,0.9,502266,109,502247,,,33.0,56.7,3.0
ccb_dibench,baseline,dibench-csharp-dotnetkoans,failed,0.0,csharp,medium,dependency_inference,Implementation (feature),DotNetKoans/DotNetKoans,0.73,0.6,0.75,1008443,155,1008349,,,142.1,210.4,5.2
ccb_dibench,baseline,dibench-csharp-irongut-codecoveragesummary,failed,0.0,csharp,medium,dependency_inference,Implementation (feature),irongut/CodeCoverageSummary,0.72,0.6,0.7,656004,191,656002,,,109.2,186.3,5.5
ccb_dibench,baseline,dibench-js-eslint-markdown,passed,1.0,javascript,medium,dependency_inference,Implementation (feature),eslint/markdown,0.74,0.65,0.75,3348646,365,3348462,,,267.7,525.2,2.2
ccb_dibench,baseline,dibench-js-motdotla-dotenv-expand,failed,0.0,javascript,medium,dependency_inference,Implementation (feature),motdotla/dotenv-expand,0.7,0.55,0.7,569924,145,569922,,,135.8,291.0,6.6
ccb_dibench,baseline,dibench-python-inducer-cgen,passed,1.0,python,medium,dependency_inference,Implementation (feature),inducer/cgen,0.72,0.6,0.7,2790699,496,2790560,,,256.3,315.2,7.2
ccb_dibench,baseline,dibench-python-rhinosec-iamactionhunter,failed,0.0,python,medium,dependency_inference,Implementation (feature),RhinoSecurityLabs/IAMActionHunter,0.74,0.65,0.75,1066543,305,1066404,,,152.0,210.7,2.7
ccb_dibench,baseline,dibench-rust-mitsuhiko-similar-asserts,passed,1.0,rust,medium,dependency_inference,Implementation (feature),mitsuhiko/similar-asserts,0.73,0.6,0.75,1045414,219,1045320,,,193.1,292.4,19.7
ccb_dibench,baseline,dibench-rust-rusticata-pcap-parser,passed,1.0,rust,medium,dependency_inference,Implementation (feature),rusticata/pcap-parser,0.73,0.6,0.75,1600522,183,1600473,,,83.7,170.0,25.7
ccb_dibench,sourcegraph_base,dibench-csharp-dotnetkoans,failed,0.0,csharp,medium,dependency_inference,Implementation (feature),DotNetKoans/DotNetKoans,0.73,0.6,0.75,1788581,274,1788534,,,123.0,161.8,8.2
ccb_dibench,sourcegraph_base,dibench-csharp-irongut-codecoveragesummary,failed,0.0,csharp,medium,dependency_inference,Implementation (feature),irongut/CodeCoverageSummary,0.72,0.6,0.7,889270,112,889242,,,64.2,109.9,7.7
